type, province, city, district, name, address, lng, lat
060400,河北省,廊坊市,安次区,万达超市(平安小区东南),光明西道144号,116.690633,39.513081
060400,河北省,廊坊市,安次区,58优品超市,华夏第九园北门西侧,116.656039,39.528521
060400,河北省,廊坊市,安次区,烟酒水果副食超市,光明西道210-3号附近,116.670436,39.512588
060400,河北省,廊坊市,安次区,每天惠全国连锁(运涛超市),王常甫村西口,116.707190,39.477488
060400,河北省,廊坊市,安次区,羽皓福超市,中孟北路东50米,116.737503,39.488562
060400,河北省,廊坊市,安次区,广林超市,企业街,116.861496,39.324419
060400,河北省,廊坊市,安次区,荣格返利超市,北街与春光南路交叉口西北100米,116.650948,39.534672
060400,河北省,廊坊市,安次区,喜军超市,光明西道210-16号,116.669017,39.512616
060400,河北省,廊坊市,安次区,长友便民超市,王常甫,116.710399,39.477316
060400,河北省,廊坊市,安次区,百果香干鲜果品超市,育英路东50米,116.672807,39.513489
060400,河北省,廊坊市,安次区,文来超市,停子头中心街与吉祥路交叉口北100米,116.725051,39.472039
060400,河北省,廊坊市,安次区,思兰超市,中孟北路博睿幼儿园北100米,116.736799,39.490566
060400,河北省,廊坊市,安次区,果真鲜果蔬超市,西小区金光西道永兴小区西100米,116.679078,39.519202
060400,河北省,廊坊市,安次区,大运来超市,杨税务乡廊泊路东50米(王常甫村),116.702350,39.477646
060400,河北省,廊坊市,安次区,雨桐蔬菜副食店,永兴路与爱民西道交叉口东北150米,116.682824,39.524227
060400,河北省,廊坊市,安次区,诺雅超市,廊霸线西50米,116.695075,39.478047
060400,河北省,廊坊市,安次区,玉杰超市,杨税务乡后南昌村桥头,116.676992,39.493166
060400,河北省,廊坊市,安次区,汇来超市,停子头中心街与吉祥路交叉口北100米,116.725130,39.472024
060400,河北省,廊坊市,安次区,解刚超市,码杨线西50米,116.835940,39.204129
060400,河北省,廊坊市,安次区,丽洁超市,码杨线西50米,116.835081,39.198107
060400,河北省,廊坊市,安次区,恒发超市,北史家务乡富士康路和龙腾路交叉口西150米,116.722053,39.477920
060400,河北省,廊坊市,安次区,福玛特超市,南龙道与常甫街交叉口西北200米,116.712879,39.494276
060400,河北省,廊坊市,安次区,永华超市(永华小区东南),永华道158-6号,116.692779,39.504565
060400,河北省,廊坊市,安次区,星河超市(常甫路),常甫路长富吉第5-5,116.708518,39.502639
060400,河北省,廊坊市,安次区,爱心水果(师范学院店),爱民西道师范学院三区院内(原农经学院宿舍),116.672430,39.526121
060400,河北省,廊坊市,安次区,生鲜堂梅超市,西大街47号附近,116.694201,39.516620
060400,河北省,廊坊市,安次区,新新第一超市,新新小镇2号楼1层,116.687200,39.475150
060400,河北省,廊坊市,安次区,秀琴超市,安锦道西口公交站东50米(安次开发区旁),116.652870,39.483667
060400,河北省,廊坊市,安次区,博媛超市,春光南路与雅士街交叉口北150米,116.652513,39.526307
060400,河北省,廊坊市,安次区,东杰特美超市,常甫路55附近,116.707939,39.503019
060400,河北省,廊坊市,安次区,北京富迪超市,北史家务乡富康道恒大名都西200米,116.730123,39.484765
060400,河北省,廊坊市,安次区,帅帅超市,第五街海尔专卖店东北200米,116.838222,39.172333
060400,河北省,廊坊市,安次区,秀玲平价超市,永兴小区,116.681925,39.517947
060400,河北省,廊坊市,安次区,晟信超市,华夏第九园1-1-103,116.655130,39.525840
060400,河北省,廊坊市,安次区,嘉润超市,龙腾路1-101号,116.722801,39.480242
060400,河北省,廊坊市,安次区,大运超市,瑞丰道阳光逸墅北门,116.716472,39.497540
060400,河北省,廊坊市,安次区,世纪华联超市(高孟村分店),二号路北200米,116.743080,39.483337
060400,河北省,廊坊市,安次区,海慧超市,龙腾路西50米,116.722964,39.479614
060400,河北省,廊坊市,安次区,芒果超市,西昌路文苑小区底商,116.665416,39.521512
060400,河北省,廊坊市,安次区,宏金雪果蔬综合超市,前排三条与前进三排交叉口西北200米,116.699713,39.499103
060400,河北省,廊坊市,安次区,益佳缘社区超市,爱民西道北50米,116.655606,39.521118
060400,河北省,廊坊市,安次区,孟晨超市,银河南路街道狮子城海棠园,116.693498,39.494643
